method,bmi,trial,snr_db,respiration_true_bpm,respiration_est_bpm,respiration_abs_error_bpm,heart_true_bpm,heart_est_bpm,heart_abs_error_bpm,spatial_sinr_db
No intelligent surface,18.0,0.0,8.0,21.159264461284803,9.086682681230489,12.072581780054314,59.735361811458816,54.95720985233575,4.778151959123065,-7.597767176347896
Digital MVDR array (BMI-adaptive),18.0,0.0,8.0,21.159264461284803,21.11330260701462,0.045961854270181846,59.735361811458816,59.64457026978759,0.09079154167122283,9.158111095910744
1-layer RIS (BMI-adaptive),18.0,0.0,8.0,21.159264461284803,21.10587897110543,0.05338549017937311,59.735361811458816,59.68524790481357,0.050113906645243844,5.369894689942707
3-layer SIM (universal),18.0,0.0,8.0,21.159264461284803,21.110623929617116,0.04864053166768656,59.735361811458816,59.738414629899495,0.0030528184406790615,7.777472594456936
3-layer SIM (BMI-adaptive),18.0,0.0,8.0,21.159264461284803,21.110535412229687,0.048729049055115325,59.735361811458816,59.73507094697859,0.0002908644802275262,9.090330772440604
No intelligent surface,18.0,1.0,8.0,18.44611027672891,7.560631481452903,10.885478795276006,79.18318152669026,56.18278798391016,23.000393542780103,-7.59822820448111
Digital MVDR array (BMI-adaptive),18.0,1.0,8.0,18.44611027672891,18.391523963685863,0.054586313043046175,79.18318152669026,79.21936383111746,0.03618230442720005,8.527183991159173
1-layer RIS (BMI-adaptive),18.0,1.0,8.0,18.44611027672891,18.41643336024384,0.029676916485069427,79.18318152669026,78.90949942712068,0.27368209956958367,5.256180488425121
3-layer SIM (universal),18.0,1.0,8.0,18.44611027672891,18.395165994278493,0.05094428245041627,79.18318152669026,79.1599002123562,0.023281314334056447,7.059178575256312
3-layer SIM (BMI-adaptive),18.0,1.0,8.0,18.44611027672891,18.408725403613428,0.037384873115481554,79.18318152669026,79.00985859021506,0.17332293647520203,8.70915323753644
No intelligent surface,18.0,2.0,8.0,12.92909408792228,12.501390221604849,0.4277038663174313,80.92070941431555,50.64488156450424,30.275827849811314,-7.597837401702256
Digital MVDR array (BMI-adaptive),18.0,2.0,8.0,12.92909408792228,12.886640841302658,0.042453246619622576,80.92070941431555,80.91340703280136,0.007302381514193712,9.223324576895294
1-layer RIS (BMI-adaptive),18.0,2.0,8.0,12.92909408792228,12.878398235858281,0.05069585206399907,80.92070941431555,80.94168641371287,0.020976999397319673,5.462437041931651
3-layer SIM (universal),18.0,2.0,8.0,12.92909408792228,12.889324122905087,0.03976996501719299,80.92070941431555,80.94105754134372,0.020348127028171348,7.9698997790344634
3-layer SIM (BMI-adaptive),18.0,2.0,8.0,12.92909408792228,12.879577425350254,0.04951666257202625,80.92070941431555,80.90432392475259,0.01638548956296404,9.261758456157862
No intelligent surface,18.0,3.0,8.0,19.865788130163068,20.066509555246554,0.20072142508348634,98.30594840344813,62.02741156992451,36.27853683352362,-7.597884489430335
Digital MVDR array (BMI-adaptive),18.0,3.0,8.0,19.865788130163068,19.812402292013953,0.05338583814911502,98.30594840344813,98.43210412148092,0.12615571803279124,8.872543592323703
1-layer RIS (BMI-adaptive),18.0,3.0,8.0,19.865788130163068,19.826936767877044,0.03885136228602448,98.30594840344813,98.21911549393455,0.08683290951357492,5.34067170581975
3-layer SIM (universal),18.0,3.0,8.0,19.865788130163068,19.80868933398273,0.05709879618033753,98.30594840344813,98.44295265001553,0.1370042465674004,7.1727191193109014
3-layer SIM (BMI-adaptive),18.0,3.0,8.0,19.865788130163068,19.825332532892546,0.0404555972705225,98.30594840344813,98.19397028475224,0.11197811869588747,8.783479725538955
No intelligent surface,18.0,4.0,8.0,22.1700539030428,7.2988401746668075,14.871213728375992,64.44913922051158,70.30638990359067,5.857250683079087,-7.597809905229365
Digital MVDR array (BMI-adaptive),18.0,4.0,8.0,22.1700539030428,22.11322832552868,0.05682557751411821,64.44913922051158,64.3643801154902,0.08475910502137651,9.23832897911767
1-layer RIS (BMI-adaptive),18.0,4.0,8.0,22.1700539030428,22.131824477054643,0.03822942598815615,64.44913922051158,64.48843863072139,0.039299410209807206,5.414968932510769
3-layer SIM (universal),18.0,4.0,8.0,22.1700539030428,22.114438581250784,0.05561532179201478,64.44913922051158,64.38832086920993,0.06081835130164848,8.034701945313106
3-layer SIM (BMI-adaptive),18.0,4.0,8.0,22.1700539030428,22.12783199311351,0.04222190992928887,64.44913922051158,64.45977513256524,0.010635912053658103,9.270730601947353
No intelligent surface,18.0,5.0,8.0,18.760819124588,6.690922256915188,12.069896867672812,71.87384960031594,68.13721778671851,3.736631813597427,-7.59815776456961
Digital MVDR array (BMI-adaptive),18.0,5.0,8.0,18.760819124588,18.71155011173117,0.049269012856829164,71.87384960031594,71.80527370475528,0.06857589556065591,8.692918986947998
1-layer RIS (BMI-adaptive),18.0,5.0,8.0,18.760819124588,18.71301013294164,0.047808991646359544,71.87384960031594,71.83199670851563,0.04185289180030338,5.320169551579859
3-layer SIM (universal),18.0,5.0,8.0,18.760819124588,18.71305986542042,0.047759259167580836,71.87384960031594,71.746308206926,0.12754139338993298,7.298593620730233
3-layer SIM (BMI-adaptive),18.0,5.0,8.0,18.760819124588,18.7089857705989,0.051833353989099606,71.87384960031594,71.94925607676223,0.07540647644628962,8.861676491214439
No intelligent surface,18.0,6.0,8.0,21.36909420852346,21.533358213194315,0.164264004670855,97.49066898737419,71.52488346631786,25.965785521056333,-7.597935589668997
Digital MVDR array (BMI-adaptive),18.0,6.0,8.0,21.36909420852346,21.31819772687114,0.050896481652319636,97.49066898737419,97.42055939099035,0.07010959638384406,8.872567761007591
1-layer RIS (BMI-adaptive),18.0,6.0,8.0,21.36909420852346,21.325570293882734,0.04352391464072625,97.49066898737419,97.79498323546643,0.30431424809223984,5.385817861130776
3-layer SIM (universal),18.0,6.0,8.0,21.36909420852346,21.311243564599174,0.057850643924286516,97.49066898737419,97.34899646181378,0.1416725255604092,7.223051245596257
3-layer SIM (BMI-adaptive),18.0,6.0,8.0,21.36909420852346,21.324377269931098,0.044716938592362254,97.49066898737419,97.57014747551337,0.07947848813917346,8.839079150901576
