snr_db,method,respiration_rmse_bpm,heart_rmse_bpm
-10.0,No intelligent surface,12.543412325561334,25.409810722030702
-10.0,Digital MVDR array (BMI-adaptive),11.893580462062397,21.399699724180845
-10.0,1-layer RIS (BMI-adaptive),11.888317848007866,24.205460507357007
-10.0,3-layer SIM (universal),12.253992695587042,23.140143086206
-10.0,3-layer SIM (BMI-adaptive),11.207761250208508,28.53011851643554
-5.0,No intelligent surface,12.201368347052073,25.675857402541823
-5.0,Digital MVDR array (BMI-adaptive),7.367996830950058,18.49900657504818
-5.0,1-layer RIS (BMI-adaptive),9.81141067705837,23.191828638004534
-5.0,3-layer SIM (universal),8.456718768621336,21.503685584316756
-5.0,3-layer SIM (BMI-adaptive),7.696253532533416,20.39438645731499
0.0,No intelligent surface,13.562213391742477,26.032215057171076
0.0,Digital MVDR array (BMI-adaptive),3.2413610783116678,10.376945717310672
0.0,1-layer RIS (BMI-adaptive),3.7101589451351558,17.277562884558957
0.0,3-layer SIM (universal),4.6154183064146865,14.75872502046812
0.0,3-layer SIM (BMI-adaptive),1.6190572866842903,10.264261360642758
5.0,No intelligent surface,10.903104917784683,24.03821358134439
5.0,Digital MVDR array (BMI-adaptive),0.049295687855519355,1.2252335925263906
5.0,1-layer RIS (BMI-adaptive),0.05986652549323862,3.206342153234626
5.0,3-layer SIM (universal),2.880272121670807,4.667510664547609
5.0,3-layer SIM (BMI-adaptive),0.04675454082131786,0.11624734714649347
10.0,No intelligent surface,14.349475600110997,24.776752350572732
10.0,Digital MVDR array (BMI-adaptive),0.04703604135470457,0.08139423547233261
10.0,1-layer RIS (BMI-adaptive),0.048374037129738534,0.12655538845896705
10.0,3-layer SIM (universal),0.04785894937313163,1.6855642814123015
10.0,3-layer SIM (BMI-adaptive),0.046850461229073014,0.06534928438065883
15.0,No intelligent surface,15.44920321632891,25.471500455757294
15.0,Digital MVDR array (BMI-adaptive),0.04693734758561099,0.06001721148087943
15.0,1-layer RIS (BMI-adaptive),0.04678897219335176,0.10675674226616855
15.0,3-layer SIM (universal),0.04674352703775652,0.05632085398709489
15.0,3-layer SIM (BMI-adaptive),0.04682816273740228,0.051641047253615575
